SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,15848,BON,"IMS BHU Dental, Varanasi",BDS,GN,GNNO,Allotted
2,16428,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
3,17089,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,GN,GNNO,Allotted
4,17145,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,GN,GNNO,Allotted
5,17282,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,GN,GNNO,Allotted
6,18920,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,OBC,OBC,Allotted
7,19013,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
8,19512,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,OBC,OBC,Allotted
9,19945,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,OBC,OBC,Allotted
10,20022,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,EW NO,Allotted
11,20035,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,EW NO,Allotted
12,20122,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
13,20497,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
14,20703,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
15,20761,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
16,20997,BON,"IMS BHU Dental, Varanasi",BDS,GN,GNNO,Allotted
17,21073,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
18,21289,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
19,21325,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
20,21729,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,OBC,Allotted
21,21909,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
22,22302,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
23,22316,BON,"IMS BHU Dental, Varanasi",BDS,GN,GNNO,Allotted
24,22441,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,OBC,Allotted
25,22604,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
26,22888,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,EW NO,Allotted
27,23019,BON,"IMS BHU Dental, Varanasi",BDS,GN,GNNO,Allotted
28,23023,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,OBC,Allotted
29,23274,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
30,23495,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,EW NO,Allotted
31,23578,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
32,23654,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,GNNO,Allotted
33,23743,BON,"IMS BHU Dental, Varanasi",BDS,GN,OBC,Allotted
34,23921,BON,"IMS BHU Dental, Varanasi",BDS,GN,GNNO,Allotted
35,23941,AON,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,OBC,Allotted
36,24030,BON,"IMS BHU Dental, Varanasi",BDS,GN,EW NO,Allotted
37,24040,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
38,24351,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
39,24377,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
40,24775,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
41,24885,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
42,24916,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,EW NO,Allotted
43,24935,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,OBC,Allotted
44,25166,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
45,25384,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
46,25446,JON,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
47,25447,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
48,25592,IP,ESIC Dental College and Hospital,BDS,GN,GNNO,Allotted
49,25593,IP,ESIC Dental College and Hospital,BDS,GN,GNNO,Allotted
50,25721,IP,ESIC Dental College and Hospital,BDS,GN,EW NO,Allotted
51,25963,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
52,26005,BON,"IMS BHU Dental, Varanasi",BDS,OBC,OBC,Allotted
53,26330,MW,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,GNNO,Allotted
54,26402,IP,ESIC Dental College and Hospital,BDS,GN,OBC,Allotted
55,26465,IP,ESIC Dental College and Hospital,BDS,GN,EW NO,Allotted
56,27390,IP,ESIC Dental College and Hospital,BDS,GN,GNNO,Allotted
57,27896,MW,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,GN,OBC,Allotted
58,28334,IP,ESIC Dental College and Hospital,BDS,GN,EW NO,Allotted
59,29755,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
60,39221,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
61,39854,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
62,40359,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
63,40897,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,SC,SC,Allotted
64,42883,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
65,43458,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
66,45699,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
67,46141,IP,ESIC Dental College and Hospital,BDS,OBC,OBC,Allotted
68,75796,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,GNNO,Allotted
69,81469,ESI,"ESIC Dental College, Gulbarga",BDS,GN,GNNO,Allotted
70,81981,ESI,"ESIC Dental College, Gulbarga",BDS,GN,EW NO,Allotted
71,84205,ESI,"ESIC Dental College, Gulbarga",BDS,GN,GNNO,Allotted
72,84784,MNG,"BVDU Dental College and Hospital, Sangli",BDS,GN,GNNO,Allotted
73,89897,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,SC,SC,Allotted
74,90257,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,SC,SC,Allotted
75,92685,ESI,"ESIC Dental College, Gulbarga",BDS,OBC,OBC,Allotted
76,97056,ESI,"ESIC Dental College, Gulbarga",BDS,OBC,OBC,Allotted
77,97364,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
78,103933,IP,ESIC Dental College and Hospital,BDS,SC,SC,Allotted
79,110584,BON,"IMS BHU Dental, Varanasi",BDS,ST,ST,Allotted
80,112668,BON,"IMS BHU Dental, Varanasi",BDS,ST,ST,Allotted
81,113414,IP,ESIC Dental College and Hospital,BDS,SC,SC,Allotted
82,115578,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
83,117626,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
84,118428,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
85,119129,IP,ESIC Dental College and Hospital,BDS,SC,SC,Allotted
86,119836,IP,ESIC Dental College and Hospital,BDS,SC,SC,Allotted
87,120408,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
88,120903,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
89,122959,BON,"IMS BHU Dental, Varanasi",BDS,SC,SC,Allotted
90,124753,ANR,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,GN,OBC,Allotted
91,127078,MNG,"MM College of Dental Scie. and Res., Mullana",BDS,GN,GNNO,Allotted
92,131084,MNG,"BVDU Dental College and Hospital, Sangli",BDS,GN,GNNO,Allotted
93,138133,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,GNNO,Allotted
94,139147,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,GNNO,Allotted
95,148112,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,OBC,Allotted
96,176016,MNG,Dr. DY Patil Dental College and Hosp. Pune,BDS,GN,GNNO,Allotted
97,184688,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,EW NO,Allotted
98,196094,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,SC,Allotted
99,197879,MNG,MANAV RACHNA DENTAL COLLEGE FARIDABAD,BDS,GN,EW NO,Allotted
100,219790,MNG,"BVDU Dental College and Hospital, Sangli",BDS,GN,OBC,Allotted
101,221382,MNG,"Manipal College of Dental Sce., Manipal",BDS,GN,GNNO,Allotted
102,223928,MNG,"Yenepoya Dental College, Yenepoya",BDS,GN,EW NO,Allotted
103,239858,MNG,MANAV RACHNA DENTAL COLLEGE FARIDABAD,BDS,GN,SC,Allotted
104,241449,MNG,"BVDU Dental College and Hospital, Sangli",BDS,GN,GNNO,Allotted
105,244001,MNG,"Santosh Dental College and Hospital, Ghaziabad",BDS,GN,OBC,Allotted
106,244651,DU,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,ST,ST,Allotted
107,260468,MNG,"SATHYABAMA UNIV. Dental College and Hospt.
Chennai",BDS,GN,GNNO,Allotted
