SNo,RollNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,4201113147,1,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
2,2001012341,2,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
3,3114010091,3,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
4,3905004441,4,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
5,2707002547,5,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
6,4411109202,6,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
7,4409008060,7,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
8,4410007356,8,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
9,1601009298,9,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
10,2708015146,10,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
11,2207001355,11,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,EWS,Allotted
12,3804003535,12,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
13,1205020117,13,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
14,3115001046,14,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Open,GN,Allotted
15,1205014119,15,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
16,4201106027,16,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
17,2801018896,17,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
18,3905014351,18,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,EWS,Allotted
19,4604006751,19,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
20,1502114157,20,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
21,4609002305,21,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
22,2001301235,22,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
23,2812002115,23,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
24,3110102683,24,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
25,2303002443,25,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
26,4108001811,26,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,OBC,Allotted
27,1205001290,27,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
28,1601012040,28,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
29,3903018397,29,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
30,2702003022,30,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
31,2807002525,31,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
32,2302007433,32,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
33,3115023027,33,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
34,4108001740,34,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,OBC,Allotted
35,4401005525,35,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
36,1205020281,36,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
37,4201105600,37,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
38,3112114187,38,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
39,3109005251,39,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
40,4401004705,40,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
41,1205033287,41,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,OBC,Allotted
42,4201012016,42,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
43,4101012314,43,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
44,3802008269,44,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
45,4110002005,45,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,OBC,Allotted
46,1702004281,46,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,SC,Allotted
47,1205001208,47,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
48,3108004390,48,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
49,3803004286,49,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
50,1502219190,50,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
51,3903001181,51,All India,"S.M.S. MEDICAL COLLEGE,
JAIPUR",MBBS,Open,OBC,Allotted
52,2304003195,52,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
53,4203001010,53,Open Seat Quota,"AIIMS, New Delhi",MBBS,Open,GN,Allotted
54,4408011404,54,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
55,3102018271,55,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
56,2702017157,56,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
57,4101011157,57,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
58,1205028114,58,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
59,4201101626,59,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
60,3905013314,60,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
61,4108001298,61,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
62,4416003200,63,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
63,2302020028,64,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
64,3903130244,65,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
65,2702113200,66,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
66,2209002439,67,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
67,3805004111,68,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
68,3903002270,69,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
69,3102011120,70,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
70,1205028083,71,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
71,4201005319,72,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
72,1601001551,73,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
73,4201119221,74,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
74,3002005278,75,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
75,4609003245,76,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
76,3903010470,77,Open Seat Quota,"AIIMS, New Delhi",MBBS,ST,ST,Allotted
77,3604012393,78,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
78,4203003361,79,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
79,3003006206,80,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
80,2301010114,81,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
81,3102019148,82,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
82,4607002152,83,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,Open,OBC,Allotted
83,1205010001,84,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
84,1507002133,85,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
85,3903042156,86,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
86,3112009311,87,All India,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
87,2803019152,88,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
88,1205025164,89,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
89,4201001805,90,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
90,3905009016,91,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
91,1502002117,92,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
92,2601005369,93,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
93,4410006207,94,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
94,3901017419,95,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
95,2803007082,96,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
96,3107007133,97,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
97,2203007189,98,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
98,4207001757,99,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
99,2808106320,100,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
100,3604009208,101,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
101,2201001600,102,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
102,1502002463,103,Open Seat Quota,"AIIMS, Patna",MBBS,Open,GN,Allotted
103,2701011169,104,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
104,4113005020,105,All India,"THOOTHUKUDI MEDICAL
COLLEGE,THOOTHUKUDI",MBBS,Open,GN,Allotted
105,2702107706,106,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
106,3115008262,107,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
107,2208005178,108,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
108,2303004096,109,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
109,4401005137,110,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
110,2809003183,111,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
111,3110025009,112,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
112,4402002510,113,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
113,3110025004,114,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Open,GN,Allotted
114,4201106230,115,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
115,3905004308,116,Open Seat Quota,"AIIMS, New Delhi",MBBS,SC,SC,Allotted
116,4201016395,117,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
117,2207003178,118,Open Seat Quota,AIIMS Rajkot,MBBS,Open,GN,Allotted
118,2208002412,119,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
119,2201002060,120,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
120,4101108142,121,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
121,1206017034,122,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
122,2809012277,123,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
123,3604004128,124,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
124,4301005184,125,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
125,4609004221,126,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
126,4201103622,127,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
127,3805002252,128,All India,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
128,4201014401,129,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
129,1205009349,130,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
130,2501006146,131,Open Seat Quota,AIIMS Jammu,MBBS,Open,GN,Allotted
131,3903108148,132,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
132,4201015065,133,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
133,3906023032,134,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
134,2001310328,135,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
135,1205030178,136,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
136,4114003474,137,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
137,3903134065,138,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
138,1201010249,139,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
139,1205007398,140,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
140,1205007396,141,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
141,4407019269,142,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
142,3114004195,143,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
143,1703012276,144,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
144,3901002187,145,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
145,3001026260,146,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
146,2302014052,147,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
147,2301007414,148,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
148,4201008286,149,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
149,2209001172,150,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
150,4201001655,151,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
151,1205005154,152,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
152,3118001264,153,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
153,4606002211,154,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
154,1201008250,155,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
155,2001111262,156,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
156,2812003050,157,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
157,4101103191,158,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,OBC,Allotted
158,1205001073,159,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
159,2812001234,160,All India,"GOVT.MEDICAL COLLEGE,
THRISSUR",MBBS,Open,GN,Allotted
160,4606004105,161,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
161,2707002187,162,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
162,2001002716,163,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
163,4410001626,164,All India,"Lady Hardinge Medical College,
New Delhi",MBBS,Open,GN,Allotted
164,4411109059,165,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
165,4608104375,166,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
166,3903103458,167,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
167,3115002674,168,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
168,2702126103,169,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
169,2812009180,170,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
170,4608018113,171,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
171,1205018039,172,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
172,1202001777,173,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
173,2001123089,174,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
174,3901002155,175,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
175,4201015032,176,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
176,2707005085,177,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
177,3609004031,178,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
178,4201021366,179,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
179,4411109398,180,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
180,2304002312,181,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
181,2808014112,182,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
182,3903231202,183,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
183,2808023016,184,All India,"GOVT. MEDICAL COLLEGE,
KOZHIKODE",MBBS,Open,GN,Allotted
184,4401008455,185,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
185,2208005303,186,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
186,2501005341,187,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
187,2601001229,188,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
188,3902004128,189,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
189,2301003340,190,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
190,2001006396,191,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
191,2810011033,192,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
192,3903224047,193,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
193,4604001780,194,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
194,1203002175,195,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
195,3903122127,196,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
196,2801013129,197,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
197,2812012245,198,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
198,2603016403,199,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
199,3109003347,200,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
200,2304017257,201,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
201,2807001125,202,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
202,4410007007,203,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
203,2813001374,204,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
204,2201006375,205,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Open,GN,Allotted
205,2001303316,206,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
206,4408103759,207,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
207,3605014263,208,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
208,1206002587,209,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
209,3905103389,210,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
210,3110102714,211,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Open,GN,Allotted
211,4109005102,212,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,OBC,Allotted
212,4411015092,213,Open Seat Quota,"INST.OF MED.SCIENCES,
BHU,VARANASI",MBBS,Open,GN,Allotted
213,4101001285,214,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
214,4405114297,215,Open Seat Quota,"INST.OF MED.SCIENCES,
BHU,VARANASI",MBBS,Open,GN,Allotted
215,2001208518,216,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
216,4608009566,217,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,Open,GN,Allotted
217,2302004520,218,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
218,4403002350,219,IP University Quota,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
219,4201012475,220,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
220,4411106570,221,Open Seat Quota,"INST.OF MED.SCIENCES,
BHU,VARANASI",MBBS,Open,GN,Allotted
221,2001320354,222,Open Seat Quota,"AIIMS, New Delhi",MBBS,SC,SC,Allotted
222,4201019312,223,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
223,3802008225,224,All India,"Lady Hardinge Medical College,
New Delhi",MBBS,Open,GN,Allotted
224,1205034147,225,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
225,4404002088,226,IP University Quota,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
226,2803016146,227,All India,"GOVT. MEDICAL COLLEGE,
KOZHIKODE",MBBS,Open,GN,Allotted
227,2001010384,228,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
228,4113004217,229,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,OBC,OBC,Allotted
229,3903216442,230,All India,"S.M.S. MEDICAL COLLEGE,
JAIPUR",MBBS,Open,GN,Allotted
230,2001309019,232,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
231,4102005728,233,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,OBC,OBC,Allotted
232,4608104085,234,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,Open,GN,Allotted
233,3903205403,235,All India,"S.M.S. MEDICAL COLLEGE,
JAIPUR",MBBS,Open,GN,Allotted
234,2201002090,236,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
235,3112001509,237,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
236,2702111489,238,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
237,3112030034,239,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
238,1507002278,240,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
239,1502017112,241,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
240,3805002325,242,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
241,3111015007,243,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted
242,3905003074,244,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
243,4408101572,245,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
244,2203003301,246,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
245,3001006595,247,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
246,2211001154,248,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
247,3902004212,249,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
248,4408007562,250,Open Seat Quota,"AIIMS, New Delhi",MBBS,OBC,OBC,Allotted
249,3801001552,251,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Open,GN,Allotted
250,1502103233,252,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
251,2708021151,253,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
252,4408123282,254,Open Seat Quota,"AIIMS, New Delhi",MBBS,EWS,EWS,Allotted
253,4101005097,255,All India,"MADRAS MEDICAL COLLEGE,
CHENNAI",MBBS,Open,GN,Allotted
254,3905009351,256,All India,"Maulana Azad Medical College,
New Delhi",MBBS,OBC,OBC,Allotted
255,4409001358,257,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Open,GN,Allotted
256,4606002438,258,All India,"Atal Bihari Vajpayee Institute of
Medical Sciences & DR RML
HOSPITAL, NEW DELHI",MBBS,Open,GN,Allotted
257,2001219038,259,IP University Quota,"Vardhman Mahavir Medical
College and Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,Allotted
258,4411114042,260,Open Seat Quota,"INST.OF MED.SCIENCES,
BHU,VARANASI",MBBS,Open,GN,Allotted
259,3118002308,261,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Open,GN,Allotted
260,3102003102,262,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
261,4117001849,263,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,OBC,OBC,Allotted
262,3107005141,264,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,OBC,Allotted
263,2302010281,265,All India,"Maulana Azad Medical College,
New Delhi",MBBS,EWS,EWS,Allotted
264,3805001278,266,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Open,GN,Allotted
265,3118024149,267,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Open,GN,Allotted
266,3903130065,268,All India,"Maulana Azad Medical College,
New Delhi",MBBS,OBC,OBC,Allotted
267,1205029138,269,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,OBC,OBC,Allotted
268,1506005104,270,All India,"Maulana Azad Medical College,
New Delhi",MBBS,OBC,OBC,Allotted
269,2809010277,271,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,OBC,OBC,Allotted
270,3115028119,272,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
271,1205019264,273,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,EWS,EWS,Allotted
272,4201023245,274,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Open,GN,Allotted
