Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 1,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,GN,101525,812267,77
Round 1,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,GN,44817,517714,128
Round 1,"ACS Medical College and Hospital,
Chennai",MBBS,NRI,GN,435275,435275,1
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,GN,6760,10248,19
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,GN PwD,208758,208758,1
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,SC,48518,58513,4
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,ST,66560,66606,2
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,GN,9645,12209,14
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,GN PwD,390045,390045,1
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,SC,61722,65017,3
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,ST,85472,85472,1
Round 1,AIIMS Bathinda,MBBS,AMS,EW NO,3833,5227,9
Round 1,AIIMS Bathinda,MBBS,AMS,EW PwD,319557,319557,1
Round 1,AIIMS Bathinda,MBBS,AMS,GN,252,3424,39
Round 1,AIIMS Bathinda,MBBS,AMS,GN PwD,238522,238800,2
Round 1,AIIMS Bathinda,MBBS,AMS,OBC,3432,4658,26
Round 1,AIIMS Bathinda,MBBS,AMS,OBC PwD,258343,258343,1
Round 1,AIIMS Bathinda,MBBS,AMS,SC,21684,30991,14
Round 1,AIIMS Bathinda,MBBS,AMS,SC PwD,381929,381929,1
Round 1,AIIMS Bathinda,MBBS,AMS,ST,42849,50118,6
Round 1,AIIMS Bathinda,MBBS,AMS,ST PwD,419240,419240,1
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,EW NO,5948,6498,5
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,GN,1295,4980,21
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,GN PwD,217579,217579,1
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,OBC,5258,5956,12
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,OBC PwD,298733,298733,1
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,SC,21330,32466,7
Round 1,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,ST,49960,56746,3
Round 1,AIIMS Guahawti,MBBS,AMS,EW NO,6557,7090,5
Round 1,AIIMS Guahawti,MBBS,AMS,GN,1546,5366,21
Round 1,AIIMS Guahawti,MBBS,AMS,GN PwD,207715,207715,1
Round 1,AIIMS Guahawti,MBBS,AMS,OBC,5615,6298,12
Round 1,AIIMS Guahawti,MBBS,AMS,OBC PwD,292311,292311,1
Round 1,AIIMS Guahawti,MBBS,AMS,SC,11028,40457,7
Round 1,AIIMS Guahawti,MBBS,AMS,ST,39496,47640,3
Round 1,AIIMS Jammu,MBBS,AMS,EW NO,6558,7401,5
Round 1,AIIMS Jammu,MBBS,AMS,GN,2464,6078,21
Round 1,AIIMS Jammu,MBBS,AMS,GN PwD,114858,114858,1
Round 1,AIIMS Jammu,MBBS,AMS,OBC,6371,6827,12
